time	V(pulse)	V(ref)	V(v+)
1.884573172186455e-07	2.835043e-03	2.834117e-03	3.297166e+00
1.884652537945413e-07	2.835065e-03	2.834117e-03	3.297166e+00
1.884698555044153e-07	2.835750e-03	2.834117e-03	3.297166e+00
1.884744193240055e-07	2.836978e-03	2.834117e-03	3.297166e+00
1.884794942801971e-07	2.838604e-03	2.834117e-03	3.297166e+00
1.884853888139966e-07	2.840432e-03	2.834117e-03	3.297166e+00
1.884902513821226e-07	2.841559e-03	2.834117e-03	3.297166e+00
1.884958748771839e-07	2.842128e-03	2.834117e-03	3.297166e+00
1.885004713689420e-07	2.841855e-03	2.834117e-03	3.297166e+00
1.885049348289463e-07	2.840862e-03	2.834117e-03	3.297166e+00
1.885095113315680e-07	2.839243e-03	2.834117e-03	3.297166e+00
1.885154156880157e-07	2.836723e-03	2.834117e-03	3.297166e+00
1.885224236707645e-07	2.833816e-03	2.834117e-03	3.297166e+00
1.885285837254080e-07	2.831821e-03	2.834117e-03	3.297166e+00
1.885337112096497e-07	2.830826e-03	2.834117e-03	3.297166e+00
1.885378217221510e-07	2.830540e-03	2.834117e-03	3.297166e+00
1.885423476925410e-07	2.830663e-03	2.834117e-03	3.297166e+00
1.885471247786080e-07	2.831110e-03	2.834117e-03	3.297166e+00
1.885520515878841e-07	2.831791e-03	2.834117e-03	3.297166e+00
1.885559370687960e-07	2.832468e-03	2.834117e-03	3.297166e+00
1.885598603504446e-07	2.833335e-03	2.834117e-03	3.297166e+00
1.885657585481625e-07	2.835037e-03	2.834117e-03	3.297166e+00
1.885718235447049e-07	2.837392e-03	2.834117e-03	3.297166e+00
1.885775834694589e-07	2.840339e-03	2.834117e-03	3.297166e+00
1.885828572364847e-07	2.843547e-03	2.834117e-03	3.297166e+00
1.885884598198215e-07	2.846930e-03	2.834117e-03	3.297166e+00
1.885943409213454e-07	2.849469e-03	2.834117e-03	3.297166e+00
1.886002825384762e-07	2.849804e-03	2.834117e-03	3.297166e+00
1.886064573536689e-07	2.846753e-03	2.834117e-03	3.297166e+00
1.886127832107230e-07	2.839802e-03	2.834117e-03	3.297166e+00
1.886192879603070e-07	2.829673e-03	2.834117e-03	3.297166e+00
1.886257568464670e-07	2.818899e-03	2.834117e-03	3.297166e+00
1.886316110734848e-07	2.811611e-03	2.834117e-03	3.297166e+00
1.886387847088929e-07	2.808751e-03	2.834118e-03	3.297166e+00
1.886440455672189e-07	2.812511e-03	2.834118e-03	3.297166e+00
1.886492548372064e-07	2.822421e-03	2.834118e-03	3.297166e+00
1.886557202380160e-07	2.840564e-03	2.834118e-03	3.297166e+00
1.886624069459869e-07	2.861661e-03	2.834118e-03	3.297166e+00
1.886696994249656e-07	2.881202e-03	2.834117e-03	3.297166e+00
1.886766208597177e-07	2.891562e-03	2.834117e-03	3.297166e+00
1.886810337856131e-07	2.891182e-03	2.834116e-03	3.297166e+00
1.886855039330342e-07	2.883834e-03	2.834116e-03	3.297166e+00
1.886900189253606e-07	2.870475e-03	2.834116e-03	3.297166e+00
1.886961480710081e-07	2.846191e-03	2.834116e-03	3.297166e+00
1.887036556342414e-07	2.814800e-03	2.834116e-03	3.297166e+00
1.887129869052728e-07	2.783368e-03	2.834116e-03	3.297166e+00
1.887197580045571e-07	2.771469e-03	2.834117e-03	3.297166e+00
