time	V(probe)	V(n024)
1.223245205764828e-08	7.131739e-04	5.462767e-04
1.223777024222616e-08	8.316840e-04	6.648801e-04
1.224139370466595e-08	9.118070e-04	7.450060e-04
1.224553402209210e-08	1.002487e-03	8.356856e-04
1.225186753252992e-08	1.138873e-03	9.720724e-04
1.225887978043551e-08	1.285747e-03	1.118946e-03
1.226423212442276e-08	1.394323e-03	1.227522e-03
1.226924481125024e-08	1.492610e-03	1.325954e-03
1.227352097278797e-08	1.573731e-03	1.407091e-03
1.227771778887872e-08	1.650450e-03	1.483810e-03
1.228611142106023e-08	1.793369e-03	1.626729e-03
1.229616774121174e-08	1.942562e-03	1.775922e-03
1.230921537504095e-08	2.092185e-03	1.925745e-03
1.233104119177648e-08	2.203904e-03	2.037597e-03
1.235413218694167e-08	2.095362e-03	1.929202e-03
1.237771464965640e-08	1.716016e-03	1.550014e-03
1.240233629993455e-08	1.039862e-03	8.738611e-04
1.243289874490284e-08	-1.238426e-04	-2.894572e-04
1.246448686312270e-08	-1.584050e-03	-1.749436e-03
1.249548021869223e-08	-3.156844e-03	-3.322005e-03
1.252305740633237e-08	-4.623086e-03	-4.788047e-03
1.255290341768844e-08	-6.279620e-03	-6.444367e-03
1.259376787062036e-08	-8.705589e-03	-8.870048e-03
1.263470100527763e-08	-1.133800e-02	-1.150217e-02
1.266211475819799e-08	-1.319055e-02	-1.335454e-02
1.268436720798318e-08	-1.470765e-02	-1.487149e-02
1.271247566034117e-08	-1.658442e-02	-1.674808e-02
1.274128677882872e-08	-1.841759e-02	-1.858106e-02
1.277188198097087e-08	-2.022734e-02	-2.039064e-02
1.280341033046949e-08	-2.193061e-02	-2.209373e-02
1.283564497423419e-08	-2.351229e-02	-2.367524e-02
1.286988830493290e-08	-2.502778e-02	-2.519056e-02
1.290159126882755e-08	-2.626237e-02	-2.642502e-02
1.293503832875719e-08	-2.733388e-02	-2.749640e-02
1.296434299491843e-08	-2.802853e-02	-2.819096e-02
1.298373034174965e-08	-2.834597e-02	-2.850835e-02
1.299739769150195e-08	-2.849776e-02	-2.866006e-02
1.300872814325730e-08	-2.857691e-02	-2.873923e-02
1.302367049123260e-08	-2.861511e-02	-2.877742e-02
1.303841268483649e-08	-2.857834e-02	-2.874059e-02
1.305370332207092e-08	-2.846157e-02	-2.862381e-02
1.306842872334421e-08	-2.827346e-02	-2.843565e-02
1.308466301070909e-08	-2.798142e-02	-2.814357e-02
1.309264858913825e-08	-2.780591e-02	-2.796807e-02
1.309939602894249e-08	-2.764162e-02	-2.780378e-02
1.310594996144319e-08	-2.746817e-02	-2.763033e-02
1.311268221240038e-08	-2.727597e-02	-2.743813e-02
1.312160590498769e-08	-2.699983e-02	-2.716196e-02
1.313179193728587e-08	-2.665573e-02	-2.681786e-02
1.314621201162132e-08	-2.611881e-02	-2.628093e-02
